,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,batch-processing-gateway,Java
10,ccs-caldavclientlibrary,HTML
11,ccs-caldavtester,Python
12,ccs-calendarserver,Python
13,ccs-pycalendar,Python
14,ccs-pykerberos,C
15,ccs-pyopendirectory,C++
16,ccs-pyosxframeworks,Python
17,ccs-pysecuretransport,Python
18,ccs-twistedextensions,Python
19,coremltools,Python
20,cups,C
21,darwin-libplatform,C
22,darwin-libpthread,C
23,darwin-xnu,C
24,device-management,
25,example-package-dealer,Swift
26,example-package-deckofplayingcards,Swift
27,example-package-fisheryates,Swift
28,example-package-playingcard,Swift
29,FHIRModels,Swift
30,foundationdb,C++
31,fstools,C
32,GCGC,Jupyter Notebook
33,homebrew-apple,Ruby
34,HomeKitADK,C
35,indexstore-db,C++
36,learning-compressible-subspaces,Python
37,learning-subspaces,Python
38,llvm-monorepo-root,
39,llvm-project,
40,llvm-project-v5,C++
41,llvm-project-v5-split,C++
42,MaterialX,
43,ml-afv,Python
44,ml-all-pairs,Python
45,ml-ane-transformers,Python
46,ml-aspanformer,Python
47,ml-autofocusformer,Python
48,ml-autofocusformer-segmentation,Python
49,ml-batchquant,Python
50,ml-capsules-inverted-attention-routing,Python
51,ml-cifar-10-faster,Python
52,ml-code-switched-speech-translation,Python
53,ml-collegial-ensembles,Python
54,ml-core,Python
55,ml-covid-mobility,R
56,ml-cread,Python
57,ml-cvnets,Python
58,ml-cvpr2019-swd,Python
59,ml-dab,Python
60,ml-data-parameters,Python
61,ml-destseg,Python
62,ml-dms-dataset,Python
63,ml-envmapnet,Python
64,ml-equivariant-neural-rendering,Jupyter Notebook
65,ml-facelit,Python
66,ml-fct,Python
67,ml-flair,Jupyter Notebook
68,ml-gaudi,
69,ml-gmpi,Python
70,ml-gsn,Python
71,ml-hierarchical-confusion-matrix,TypeScript
72,ml-hypersim,Python
73,ml-interspeech2022-phi_rtn,
74,ml-knowledge-conflicts,Python
75,ml-live-pose,
76,ml-mkqa,Python
77,ml-mobileone,Swift
78,ml-multiple-futures-prediction,Python
79,ml-ncg,Python
80,ml-neilf,Python
81,ml-neuman,Python
82,ml-no-token-left-behind,Jupyter Notebook
83,ml-pointconvformer,Python
84,ml-pointersect,Python
85,ml-probabilistic-attention,Python
86,ml-qrecc,Python
87,ml-quant,Python
88,ml-robust-expert-augmentations,Python
89,ml-sad,Python
90,ml-selfcond,Python
91,ml-shuffling-amplification,Python
92,ml-spin,Python
93,ml-stable-diffusion,Python
94,ml-stuttering-events-dataset,Python
95,ml-tract,Python
96,ml-transcript-translation-consistency-ratings,
97,ml-translate-vis,TypeScript
98,ml-tree-dst,Python
99,ml-tune-mode-convbn,Python
100,ml-uwac,Python
101,ml-vfi-smiff,Python
102,openjdk,Java
103,password-manager-resources,JavaScript
104,sample-backyard-birds,Swift
105,sample-cloudkit-coredatasync,Swift
106,sample-cloudkit-encryption,Swift
107,sample-cloudkit-privatedb,Swift
108,sample-cloudkit-privatedb-sync,Swift
109,sample-cloudkit-queries,Swift
110,sample-cloudkit-sharing,Swift
111,sample-cloudkit-sync-engine,Swift
112,sample-cloudkit-tooling,JavaScript
113,sample-cloudkit-zonesharing,Swift
114,sample-food-truck,Swift
115,servicetalk,Java
116,sourcekit-lsp,Swift
117,swift,C++
118,swift-3-api-guidelines-review,Swift
119,swift-algorithms,Swift
120,swift-argument-parser,Swift
121,swift-asn1,Swift
122,swift-async-algorithms,Swift
123,swift-atomics,Swift
124,swift-book,Markdown
125,swift-cassandra-client,Swift
126,swift-certificates,Swift
127,swift-clang,C++
128,swift-clang-tools-extra,C++
129,swift-cluster-membership,Swift
130,swift-cmake-examples,CMake
131,swift-cmark,C
132,swift-collections,Swift
133,swift-collections-benchmark,Swift
134,swift-community-hosted-continuous-integration,
135,swift-compiler-rt,C
136,swift-corelibs-foundation,Swift
137,swift-corelibs-libdispatch,C
138,swift-corelibs-xctest,Swift
139,swift-crypto,C
140,swift-distributed-actors,Swift
141,swift-distributed-tracing,Swift
142,swift-distributed-tracing-baggage-core,Swift
143,swift-distributed-tracing-extras,Swift
144,swift-docc,Swift
145,swift-docc-plugin,Swift
146,swift-docc-render,JavaScript
147,swift-docc-render-artifact,
148,swift-docc-symbolkit,Swift
149,swift-docker,Dockerfile
150,swift-driver,Swift
151,swift-evolution,Markdown
152,swift-evolution-staging,Swift
153,swift-experimental-string-processing,Swift
154,swift-format,Swift
155,swift-foundation,Swift
156,swift-foundation-icu,C
157,swift-http-structured-headers,Swift
158,swift-installer-scripts,CMake
159,swift-integration-tests,Python
160,swift-internals,HTML
161,swift-issues,
162,swift-libcxx,C++
163,swift-llbuild,C++
164,swift-llbuild2,Swift
165,swift-lldb,C++
166,swift-llvm,LLVM
167,swift-llvm-bindings,Swift
168,swift-lmdb,C
169,swift-log,Swift
170,swift-markdown,Swift
171,swift-metrics,Swift
172,swift-metrics-extras,Swift
173,swift-nio,Swift
174,swift-nio-examples,Swift
175,swift-nio-extras,Swift
176,swift-nio-http2,Swift
177,swift-nio-imap,Swift
178,swift-nio-nghttp2-support,Swift
179,swift-nio-ssh,Swift
180,swift-nio-ssl,C
181,swift-nio-ssl-support,Swift
182,swift-nio-transport-services,Swift
183,swift-nio-zlib-support,Swift
184,swift-numerics,Swift
185,swift-openapi-generator,Swift
186,swift-openapi-runtime,Swift
187,swift-openapi-urlsession,Swift
188,swift-org-website,SCSS
189,swift-package-collection-generator,Swift
190,swift-package-manager,Swift
191,swift-package-registry-compatibility-test-suite,Swift
192,swift-protobuf,Swift
193,swift-protobuf-plugin,
194,swift-protobuf-test-conformance,
195,swift-sample-distributed-actors-transport,Swift
196,swift-se0270-range-set,Swift
197,swift-se0288-is-power,Swift
198,swift-service-context,Swift
199,swift-service-discovery,Swift
200,swift-source-compat-suite,Python
201,swift-standard-library-preview,Swift
202,swift-statsd-client,Swift
203,swift-stress-tester,Swift
204,swift-syntax,Swift
205,swift-system,Swift
206,swift-tools-support-async,Swift
207,swift-tools-support-core,Swift
208,swift-xcode-playground-support,Swift
209,swiftpm-on-llbuild2,Swift
210,tensorflow_macos,Shell
211,turicreate,C++
212,unityplugins,C#
213,VideoFlashingReduction,Mathematica
214,vqg-multimodal-assistant,Python
